GCN,cora,0.025,0.025,-1,0.1,0.002,0.0005,75.34202334630352,1.9391435800475754,75.69117647058825
GCN,citeseer,0.025,0.025,-1,0.1,0.002,0.0005,67.16803797468353,1.748305283056245,67.01204819277106
GCN,pubmed,0.025,0.025,-1,0.1,0.002,0.0005,83.95569079649798,0.5250531400847459,84.20081135902639
GCN,computers,0.025,0.025,-1,0.1,0.002,0.0005,68.73737373737376,2.482424523481881,69.05232558139537
GCN,photo,0.025,0.025,-1,0.1,0.002,0.0005,82.08421632035225,2.8376272090740224,82.21989528795807
GCN,chameleon,0.6,0.2,-1,0.1,0.002,0.0005,58.3304157549234,2.1746308953147024,58.373626373626394
GCN,film,0.6,0.2,-1,0.1,0.002,0.0005,29.889803673210892,1.2167811768640069,30.006578947368418
GCN,squirrel,0.6,0.2,-1,0.1,0.002,0.0005,34.352545629202694,1.46630823578594,34.75288461538462
GCN,texas,0.6,0.2,-1,0.1,0.002,0.0005,68.37704918032786,5.708567703879579,70.08108108108107
GCN,cornell,0.6,0.2,-1,0.1,0.002,0.0005,58.606557377049185,7.063938040470981,58.45945945945943
GAT,cora,0.025,0.025,-1,0.1,0.002,0.0005,76.69027237354082,2.181008096703267,76.0588235294118
GAT,citeseer,0.025,0.025,-1,0.1,0.002,0.0005,67.4041139240506,1.7198105295324801,67.49397590361446
GAT,pubmed,0.025,0.025,-1,0.1,0.002,0.0005,83.33739056160582,0.48118975778782397,83.31440162271808
